float_reference,rtl_hardware
-0.00830177,-0.00781250
0.01958954,0.01953125
0.00817201,0.01171875
-0.00447794,-0.00390625
0.00164711,0.00000000
-0.02046890,-0.01953125
0.00282174,0.00390625
0.00481625,0.00390625
-0.00824028,-0.00781250
0.02001260,0.01953125
0.00793593,0.01171875
-0.00400153,-0.00390625
0.00154279,0.00000000
-0.02094229,-0.01953125
0.00265759,0.00390625
0.00445262,0.00390625
-0.00817292,-0.00781250
0.01975432,0.01953125
0.00812818,0.01171875
-0.00428254,-0.00390625
0.00175323,0.00000000
-0.02057549,-0.01953125
0.00272588,0.00390625
0.00466024,0.00390625
-0.00838951,-0.00781250
0.01986600,0.01953125
0.00834822,0.01171875
-0.00428700,-0.00390625
0.00192345,0.00000000
-0.02052601,-0.01953125
0.00269913,0.00390625
0.00491493,0.00390625
-0.00772024,-0.00781250
0.01964379,0.01953125
0.00797655,0.01171875
-0.00401382,-0.00390625
0.00174429,0.00000000
-0.02029265,-0.01953125
0.00256550,0.00390625
0.00474165,0.00390625
-0.00783783,-0.00781250
0.01977378,0.01953125
0.00794801,0.01171875
-0.00407203,-0.00390625
0.00173207,0.00000000
-0.02050266,-0.01953125
0.00250846,0.00390625
0.00481929,0.00390625
-0.00808528,-0.00781250
0.01966324,0.01953125
0.00834508,0.01171875
-0.00402750,-0.00390625
0.00160331,0.00000000
-0.02061781,-0.01953125
0.00247807,0.00390625
0.00463396,0.00390625
-0.00799254,-0.00781250
0.01985419,0.01953125
0.00789130,0.01171875
-0.00384339,-0.00390625
0.00141938,0.00000000
-0.02065120,-0.01953125
0.00301754,0.00390625
0.00468737,0.00390625
-0.00793125,-0.00781250
0.01997051,0.01953125
0.00781402,0.01171875
-0.00370255,-0.00390625
0.00194767,0.00000000
-0.02052086,-0.01953125
0.00226275,0.00390625
0.00454269,0.00390625
-0.00853368,-0.00781250
0.01970713,0.01953125
0.00809556,0.01171875
-0.00393124,-0.00390625
0.00179356,0.00000000
-0.02041457,-0.01953125
0.00254165,0.00390625
0.00461313,0.00390625
-0.00839212,-0.00781250
0.01975811,0.01953125
0.00799638,0.01171875
-0.00399155,-0.00390625
0.00136872,0.00000000
-0.02059889,-0.01953125
0.00283595,0.00390625
0.00468713,0.00390625
-0.00783471,-0.00781250
0.01939648,0.01953125
0.00815578,0.01171875
-0.00425756,-0.00390625
0.00111798,0.00000000
-0.02061543,-0.01953125
0.00238069,0.00390625
0.00467254,0.00390625
-0.00817491,-0.00781250
0.01964039,0.01953125
0.00818536,0.01171875
-0.00396130,-0.00390625
0.00143674,0.00000000
-0.02056490,-0.01953125
0.00227805,0.00390625
0.00471239,0.00390625
-0.00809423,-0.00781250
0.01967076,0.01953125
0.00817503,0.01171875
-0.00418216,-0.00390625
0.00141073,0.00000000
-0.02049693,-0.01953125
0.00278891,0.00390625
0.00470220,0.00390625
-0.00801467,-0.00781250
0.01933103,0.01953125
0.00797229,0.01171875
-0.00395675,-0.00390625
0.00159743,0.00000000
-0.02008553,-0.01953125
0.00265023,0.00390625
0.00479379,0.00390625
-0.00813428,-0.00781250
0.01938874,0.01953125
0.00808752,0.01171875
-0.00403610,-0.00390625
0.00143988,0.00000000
-0.02030568,-0.01953125
0.00235380,0.00390625
0.00472607,0.00390625
-0.00836221,-0.00781250
0.02018787,0.01953125
0.00797073,0.01171875
-0.00404900,-0.00390625
0.00189091,0.00000000
-0.02056279,-0.01953125
0.00310209,0.00390625
0.00492307,0.00390625
-0.00786905,-0.00781250
0.01944602,0.01953125
0.00819639,0.01171875
-0.00391425,-0.00390625
0.00177973,0.00000000
-0.02032999,-0.01953125
0.00250059,0.00390625
0.00474538,0.00390625
-0.00768895,-0.00781250
0.01933987,0.01953125
0.00808222,0.01171875
-0.00378982,-0.00390625
0.00139135,0.00000000
-0.02040628,-0.01953125
0.00233934,0.00390625
0.00446180,0.00390625
-0.00821100,-0.00781250
0.01979848,0.01953125
0.00815929,0.01171875
-0.00424560,-0.00390625
0.00184984,0.00000000
-0.02070077,-0.01953125
0.00271649,0.00390625
0.00493960,0.00390625
-0.00785637,-0.00781250
0.01954361,0.01953125
0.00812724,0.01171875
-0.00418565,-0.00390625
0.00167128,0.00000000
-0.02044590,-0.01953125
0.00282319,0.00390625
0.00483166,0.00390625
-0.00799990,-0.00781250
0.01979150,0.01953125
0.00807098,0.01171875
-0.00423573,-0.00390625
0.00172205,0.00000000
-0.02064067,-0.01953125
0.00272043,0.00390625
0.00482425,0.00390625
-0.00799623,-0.00781250
0.01950486,0.01953125
0.00816293,0.01171875
-0.00421364,-0.00390625
0.00164855,0.00000000
-0.02058995,-0.01953125
0.00269778,0.00390625
0.00492698,0.00390625
-0.00807137,-0.00781250
0.02028687,0.01953125
0.00806896,0.01171875
-0.00402110,-0.00390625
0.00179341,0.00000000
-0.02075620,-0.01953125
0.00292956,0.00390625
0.00483801,0.00390625
-0.00798091,-0.00781250
0.01925450,0.01953125
0.00807312,0.01171875
-0.00412140,-0.00390625
0.00154610,0.00000000
-0.02018944,-0.01953125
0.00272307,0.00390625
0.00457032,0.00390625
-0.00792917,-0.00781250
0.01948635,0.01953125
0.00802160,0.01171875
-0.00411879,-0.00390625
0.00158152,0.00000000
-0.02049553,-0.01953125
0.00260222,0.00390625
0.00476095,0.00390625
-0.00817656,-0.00781250
0.01930274,0.01953125
0.00803594,0.01171875
-0.00382198,-0.00390625
0.00176724,0.00000000
-0.02022479,-0.01953125
0.00262078,0.00390625
0.00475793,0.00390625
-0.00781359,-0.00781250
0.01977550,0.01953125
0.00827202,0.01171875
-0.00437972,-0.00390625
0.00158236,0.00000000
-0.02052357,-0.01953125
0.00262581,0.00390625
0.00491634,0.00390625
-0.00798136,-0.00781250
0.01999550,0.01953125
0.00781603,0.01171875
-0.00359646,-0.00390625
0.00167190,0.00000000
-0.02041997,-0.01953125
0.00233438,0.00390625
0.00464095,0.00390625
-0.00831200,-0.00781250
0.01992361,0.01953125
0.00784710,0.01171875
-0.00382093,-0.00390625
0.00179000,0.00000000
-0.02053765,-0.01953125
0.00284875,0.00390625
0.00459269,0.00390625
-0.00796723,-0.00781250
0.01967920,0.01953125
0.00800725,0.01171875
-0.00392861,-0.00390625
0.00180487,0.00000000
-0.02037170,-0.01953125
0.00282559,0.00390625
0.00478528,0.00390625
-0.00834188,-0.00781250
0.02002067,0.01953125
0.00791003,0.01171875
-0.00395467,-0.00390625
0.00167334,0.00000000
-0.02076381,-0.01953125
0.00250255,0.00390625
0.00460257,0.00390625
-0.00798543,-0.00781250
0.01988182,0.01953125
0.00803183,0.01171875
-0.00393148,-0.00390625
0.00173316,0.00000000
-0.02058098,-0.01953125
0.00267314,0.00390625
0.00479110,0.00390625
-0.00772017,-0.00781250
0.01970927,0.01953125
0.00815951,0.01171875
-0.00423919,-0.00390625
0.00168597,0.00000000
-0.02053108,-0.01953125
0.00259933,0.00390625
0.00483038,0.00390625
-0.00799345,-0.00781250
0.01987947,0.01953125
0.00803720,0.01171875
-0.00381184,-0.00390625
0.00178023,0.00000000
-0.02070993,-0.01953125
0.00292829,0.00390625
0.00468954,0.00390625
-0.00802031,-0.00781250
0.01980069,0.01953125
0.00806089,0.01171875
-0.00428876,-0.00390625
0.00191671,0.00000000
-0.02033548,-0.01953125
0.00292208,0.00390625
0.00494058,0.00390625
-0.00830487,-0.00781250
0.01971110,0.01953125
0.00770040,0.01171875
-0.00407030,-0.00390625
0.00163616,0.00000000
-0.02045796,-0.01953125
0.00274119,0.00390625
0.00465702,0.00390625
-0.00811154,-0.00781250
0.01975078,0.01953125
0.00811103,0.01171875
-0.00408326,-0.00390625
0.00148311,0.00000000
-0.02050191,-0.01953125
0.00232956,0.00390625
0.00459520,0.00390625
-0.00822766,-0.00781250
0.01973852,0.01953125
0.00811341,0.01171875
-0.00424365,-0.00390625
0.00184882,0.00000000
-0.02063616,-0.01953125
0.00277953,0.00390625
0.00478941,0.00390625
-0.00793960,-0.00781250
0.02005499,0.01953125
0.00798247,0.01171875
-0.00378407,-0.00390625
0.00165886,0.00000000
-0.02068386,-0.01953125
0.00251266,0.00390625
0.00486994,0.00390625
-0.00794574,-0.00781250
0.01985338,0.01953125
0.00811865,0.01171875
-0.00412122,-0.00390625
0.00181011,0.00000000
-0.02074137,-0.01953125
0.00292388,0.00390625
0.00481082,0.00390625
-0.00795883,-0.00781250
0.01968861,0.01953125
0.00795444,0.01171875
-0.00421445,-0.00390625
0.00161754,0.00000000
-0.02057954,-0.01953125
0.00300544,0.00390625
0.00469789,0.00390625
-0.00823427,-0.00781250
0.02010930,0.01953125
0.00820337,0.01171875
-0.00427416,-0.00390625
0.00180700,0.00000000
-0.02068323,-0.01953125
0.00251724,0.00390625
0.00489458,0.00390625
-0.00831001,-0.00781250
0.01966110,0.01953125
0.00852756,0.01171875
-0.00415326,-0.00390625
0.00135762,0.00000000
-0.02028372,-0.01953125
0.00260198,0.00390625
0.00478855,0.00390625
-0.00784918,-0.00781250
0.01961369,0.01953125
0.00811672,0.01171875
-0.00398937,-0.00390625
0.00190225,0.00000000
-0.02049669,-0.01953125
0.00289478,0.00390625
0.00465555,0.00390625
-0.00795148,-0.00781250
0.02003308,0.01953125
0.00812725,0.01171875
-0.00408246,-0.00390625
0.00161564,0.00000000
-0.02051641,-0.01953125
0.00250842,0.00390625
0.00476250,0.00390625
-0.00809782,-0.00781250
0.01979028,0.01953125
0.00805598,0.01171875
-0.00392336,-0.00390625
0.00183410,0.00000000
-0.02057479,-0.01953125
0.00235290,0.00390625
0.00502311,0.00390625
-0.00843561,-0.00781250
0.01979610,0.01953125
0.00799083,0.01171875
-0.00378851,-0.00390625
0.00155130,0.00000000
-0.02049582,-0.01953125
0.00290247,0.00390625
0.00427507,0.00390625
-0.00855083,-0.00781250
0.01997477,0.01953125
0.00815834,0.01171875
-0.00373278,-0.00390625
0.00145492,0.00000000
-0.02070617,-0.01953125
0.00293650,0.00390625
0.00462064,0.00390625
-0.00811902,-0.00781250
0.01992286,0.01953125
0.00820147,0.01171875
-0.00412260,-0.00390625
0.00180192,0.00000000
-0.02071563,-0.01953125
0.00254413,0.00390625
0.00487232,0.00390625
-0.00844249,-0.00781250
0.01990239,0.01953125
0.00798531,0.01171875
-0.00399053,-0.00390625
0.00145657,0.00000000
-0.02060236,-0.01953125
0.00256817,0.00390625
0.00463936,0.00390625
-0.00799347,-0.00781250
0.01975703,0.01953125
0.00807003,0.01171875
-0.00377237,-0.00390625
0.00180129,0.00000000
-0.02055808,-0.01953125
0.00273718,0.00390625
0.00467207,0.00390625
-0.00802267,-0.00781250
0.01941799,0.01953125
0.00806866,0.01171875
-0.00428815,-0.00390625
0.00142863,0.00000000
-0.02029480,-0.01953125
0.00237284,0.00390625
0.00467710,0.00390625
-0.00794285,-0.00781250
0.01988301,0.01953125
0.00794120,0.01171875
-0.00379365,-0.00390625
0.00183299,0.00000000
-0.02042124,-0.01953125
0.00245332,0.00390625
0.00475845,0.00390625
-0.00839133,-0.00781250
0.01981970,0.01953125
0.00813045,0.01171875
-0.00415309,-0.00390625
0.00138782,0.00000000
-0.02039343,-0.01953125
0.00279286,0.00390625
0.00478377,0.00390625
-0.00820490,-0.00781250
0.01981703,0.01953125
0.00824087,0.01171875
-0.00418280,-0.00390625
0.00157430,0.00000000
-0.02056736,-0.01953125
0.00249345,0.00390625
0.00470262,0.00390625
-0.00816317,-0.00781250
0.01962228,0.01953125
0.00800412,0.01171875
-0.00392795,-0.00390625
0.00159270,0.00000000
-0.02032729,-0.01953125
0.00264412,0.00390625
0.00460642,0.00390625
-0.00835733,-0.00781250
0.01967515,0.01953125
0.00829852,0.01171875
-0.00409432,-0.00390625
0.00154990,0.00000000
-0.02052520,-0.01953125
0.00274692,0.00390625
0.00489449,0.00390625
-0.00826801,-0.00781250
0.02006226,0.01953125
0.00794881,0.01171875
-0.00394881,-0.00390625
0.00159790,0.00000000
-0.02051285,-0.01953125
0.00265236,0.00390625
0.00487259,0.00390625
-0.00805996,-0.00781250
0.01973460,0.01953125
0.00814473,0.01171875
-0.00403536,-0.00390625
0.00191053,0.00000000
-0.02023189,-0.01953125
0.00252005,0.00390625
0.00505032,0.00390625
-0.00823490,-0.00781250
0.02012788,0.01953125
0.00803348,0.01171875
-0.00412735,-0.00390625
0.00144712,0.00000000
-0.02046051,-0.01953125
0.00244264,0.00390625
0.00484544,0.00390625
-0.00802753,-0.00781250
0.01957367,0.01953125
0.00796331,0.01171875
-0.00392733,-0.00390625
0.00167730,0.00000000
-0.02032598,-0.01953125
0.00287468,0.00390625
0.00468485,0.00390625
-0.00814225,-0.00781250
0.01998080,0.01953125
0.00818700,0.01171875
-0.00425916,-0.00390625
0.00162783,0.00000000
-0.02082354,-0.01953125
0.00267850,0.00390625
0.00486658,0.00390625
-0.00799396,-0.00781250
0.01968614,0.01953125
0.00788135,0.01171875
-0.00383849,-0.00390625
0.00195906,0.00000000
-0.02050543,-0.01953125
0.00258811,0.00390625
0.00471854,0.00390625
